source,app_id,review_id,dedup_key,author,rating,title,body,version,country,updated,helpful_votes,lang,lang_method,is_junk,junk_reason,pii_scrubbed,sort_by,fetched_at
rss,839285684,1020864871,id:1020864871,yvonneleaf,5,💪💪💪,方便实用,1.0,us,2014-07-02T06:18:36-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,10162333986,id:10162333986,KrystalYYDS,5,Good exercise for woman,"I have tried many apps, and this one is the best",6.6.1,us,2023-07-20T11:04:40-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,7636123842,id:7636123842,kyliekleinn,5,Kylie,Best app for work out at home!,5.8.1,us,2021-07-30T10:13:48-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,9913567756,id:9913567756,哥安儿,5,Awesome thanks,It’s amazing APP,6.4.3,us,2023-05-10T14:20:44-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,11862897909,id:11862897909,dixnndoaop,5,下载失败,我下载软件并购买后课程总是下载失败。,7.6.1,us,2024-10-22T10:12:21-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,12284709263,id:12284709263,xrzxs,5,love it,really enjoy this,7.9.0,us,2025-02-07T22:33:13-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,11843515227,id:11843515227,想要学的运动，都要开通会员,1,都要开通会员,所有项目都是要开通会员，都要钱的,7.6.1,us,2024-10-17T04:56:02-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,11747896360,id:11747896360,徐爱笑。,1,刚下载全都是英文,下载全都是英文,7.6.1,us,2024-09-21T03:50:30-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,6201096293,id:6201096293,Tigffhhuijiohgvcdd,5,A Great app!,Excellent !!!,5.4.10,us,2020-07-15T07:35:39-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,6041883396,id:6041883396,venus6574,5,非常简单实用,我不知道国内流行的keep怎么样，但是这个一用非常容易上手，一个小时下来可以做七个单元，有效运动。然后，右下角点开就可以横屏呀，中间点又可以暂停，左右点可以上一个或下一个，做完喜欢的可以save,5.4.8,us,2020-06-06T02:00:53-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1081072507,id:1081072507,春野落英,4,易坚持,冬天做做还能保暖,1.0,us,2014-10-15T22:05:04-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
